horizon,model,feature_group,budget_type,budget_value,signals_per_day,daily_false_alarms,daily_false_alarms_practical,event_recall_label_aligned,event_recall_practical,average_lead_time,median_lead_time,practical_average_lead_time,practical_median_lead_time,false_alarms_per_detected_event,false_alarms_per_detected_event_practical,detected_events,detected_events_practical,total_events,total_events_practical,pressure_episodes
H5,LightGBM,ALL,daily_top_n,20.000000,20.000000,15.806897,12.531034,0.021281,0.036980,7.492958,8.000000,11.432000,10.000000,5.380282,2.422667,426,750,20018,20281,21679
H5,LightGBM,ALL,daily_top_n,50.000000,50.000000,40.496552,31.531034,0.040364,0.072482,7.632426,8.000000,12.102041,11.000000,7.267327,3.110204,808,1470,20018,20281,21679
H5,LightGBM,ALL,daily_top_n,100.000000,100.000000,82.641379,64.593103,0.067639,0.118732,7.714919,8.000000,12.608804,12.000000,8.850074,3.889535,1354,2408,20018,20281,21679
H5,LightGBM,ALL,daily_top_n,200.000000,200.000000,167.951724,131.620690,0.113198,0.195898,7.820388,8.000000,13.049333,13.000000,10.747132,4.803675,2266,3973,20018,20281,21679
H5,LightGBM,ALL,daily_top_pct,0.005000,84.020690,69.062069,53.958621,0.059696,0.105172,7.706276,8.000000,12.449602,12.000000,8.379916,3.668073,1195,2133,20018,20281,21679
H5,LightGBM,ALL,daily_top_pct,0.010000,167.600000,139.993103,109.717241,0.099610,0.172822,7.782347,8.000000,12.927247,12.000000,10.180040,4.538944,1994,3505,20018,20281,21679
H5,LightGBM,ALL,daily_top_pct,0.020000,334.662069,284.986207,226.627586,0.160506,0.269316,7.879863,9.000000,13.408642,13.000000,12.861189,6.016294,3213,5462,20018,20281,21679
H5,LightGBM,ALL,daily_top_pct,0.050000,835.834483,736.593103,605.772414,0.281497,0.436616,8.031056,9.000000,14.170186,15.000000,18.954037,9.919481,5635,8855,20018,20281,21679
H10,LightGBM,ALL,daily_top_n,20.000000,20.000000,13.379310,9.475862,0.039782,0.078063,9.917742,10.000000,17.174304,17.000000,3.129032,1.124386,620,1222,15585,15654,16676
H10,LightGBM,ALL,daily_top_n,50.000000,50.000000,34.634483,24.965517,0.079371,0.150121,10.092967,10.000000,17.764255,17.000000,4.059822,1.540426,1237,2350,15585,15654,16676
H10,LightGBM,ALL,daily_top_n,100.000000,100.000000,71.213793,52.213793,0.126147,0.224927,10.365209,11.000000,18.601534,19.000000,5.252289,2.150241,1966,3521,15585,15654,16676
H10,LightGBM,ALL,daily_top_n,200.000000,200.000000,148.668966,113.027586,0.188900,0.312636,10.638247,11.000000,19.438905,20.000000,7.322351,3.348794,2944,4894,15585,15654,16676
H10,LightGBM,ALL,daily_top_pct,0.005000,81.193103,57.048276,41.724138,0.112095,0.201163,10.259874,11.000000,18.261035,18.000000,4.734974,1.921245,1747,3149,15585,15654,16676
H10,LightGBM,ALL,daily_top_pct,0.010000,161.910345,119.089655,89.475862,0.166827,0.283825,10.549231,11.000000,19.104209,19.000000,6.641538,2.920099,2600,4443,15585,15654,16676
H10,LightGBM,ALL,daily_top_pct,0.020000,323.351724,248.806897,193.206897,0.237600,0.376773,10.876857,12.000000,20.174296,21.000000,9.742641,4.749915,3703,5898,15585,15654,16676
H10,LightGBM,ALL,daily_top_pct,0.050000,807.682759,662.455172,537.710345,0.362528,0.523253,11.331327,13.000000,21.522769,23.000000,17.001062,9.518740,5650,8191,15585,15654,16676
