mean_score,obs_rate,rows,horizon
0.015286114066839218,0.00019401284612717334,242252,H5
0.046775933355093,0.0017874023223846342,242251,H5
0.06325890123844147,0.0033229996986596545,242251,H5
0.08493868261575699,0.004986563522957593,242251,H5
0.11861226707696915,0.006761581995533558,242251,H5
0.17343176901340485,0.011306454875315272,242251,H5
0.25252464413642883,0.01820838716868042,242251,H5
0.3645668625831604,0.03164899216102307,242251,H5
0.5169365406036377,0.06964677132395738,242251,H5
0.7159749865531921,0.13931418239759588,242251,H5
0.025110235437750816,0.0007048360295091351,234097,H10
0.04726654291152954,0.002661289978086007,234097,H10
0.06063346564769745,0.00425893650468184,234096,H10
0.08218257874250412,0.005681405571194846,234097,H10
0.11672293394804001,0.007945458273528808,234096,H10
0.16882506012916565,0.013156939217503855,234097,H10
0.2507250905036926,0.022811154398195612,234096,H10
0.37050679326057434,0.044972810416195,234097,H10
0.5109636187553406,0.07735288086938692,234096,H10
0.7153192758560181,0.16651217230464294,234097,H10
