horizon,model,feature_group,event_rate,PR_AUC,Top5_hit_rate,Top5_lift,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Brier,status
H5,Naive,P,0.028718,0.048575,0.029564,1.029478,0.0,0.0,0.165361,OK
H5,Naive,M,0.028718,0.048575,0.029564,1.029478,0.0,0.0,0.165361,OK
H5,Naive,C,0.028718,0.048575,0.029564,1.029478,0.0,0.0,0.165361,OK
H5,Naive,ALL,0.028718,0.048575,0.029564,1.029478,0.0,0.0,0.165361,OK
H5,Logit,P,0.028718,0.049718,0.076928,2.678769,0.001143,1.649292,0.196302,OK
H5,LightGBM,P,0.028718,0.110413,0.145237,5.057406,0.061839,4.027929,0.133305,OK
H5,SMARTBoost,P,0.028718,0.110793,0.14508,5.051944,0.062218,4.022466,0.135839,OK
H5,Logit,M,0.028718,0.043673,0.062811,2.187173,-0.004902,1.157695,0.146021,OK
H5,LightGBM,M,0.028718,0.102723,0.141761,4.936376,0.054149,3.906898,0.103447,OK
H5,SMARTBoost,M,0.028718,0.100677,0.140919,4.907052,0.052102,3.877575,0.110941,OK
H5,Logit,C,0.028718,0.043655,0.061663,2.147213,-0.00492,1.117735,0.117173,OK
H5,LightGBM,C,0.028718,0.102893,0.141126,4.91424,0.054318,3.884762,0.107335,OK
H5,SMARTBoost,C,0.028718,0.101156,0.139186,4.846681,0.052581,3.817203,0.114058,OK
H5,Logit,ALL,0.028718,0.07132,0.105279,3.665987,0.022745,2.636509,0.104216,OK
H5,LightGBM,ALL,0.028718,0.145491,0.172399,6.003226,0.096916,4.973749,0.101333,OK
H5,SMARTBoost,ALL,0.028718,0.138033,0.169724,5.910082,0.089458,4.880604,0.11862,OK
H10,Naive,P,0.034606,0.066232,0.044785,1.294138,0.0,0.0,0.154577,OK
H10,Naive,M,0.034606,0.066232,0.044785,1.294138,0.0,0.0,0.154577,OK
H10,Naive,C,0.034606,0.066232,0.044785,1.294138,0.0,0.0,0.154577,OK
H10,Naive,ALL,0.034606,0.066232,0.044785,1.294138,0.0,0.0,0.154577,OK
H10,Logit,P,0.034606,0.066673,0.102077,2.949705,0.000441,1.655568,0.184699,OK
H10,LightGBM,P,0.034606,0.142729,0.188921,5.459226,0.076497,4.165088,0.129708,OK
H10,SMARTBoost,P,0.034606,0.143677,0.189169,5.466385,0.077445,4.172248,0.132232,OK
H10,Logit,M,0.034606,0.059288,0.089219,2.578153,-0.006944,1.284015,0.139967,OK
H10,LightGBM,M,0.034606,0.137232,0.184043,5.318258,0.071,4.024121,0.103433,OK
H10,SMARTBoost,M,0.034606,0.137935,0.185691,5.365906,0.071704,4.071768,0.10926,OK
H10,Logit,C,0.034606,0.05983,0.09068,2.620369,-0.006402,1.326232,0.119085,OK
H10,LightGBM,C,0.034606,0.138371,0.183778,5.310605,0.072139,4.016468,0.10903,OK
H10,SMARTBoost,C,0.034606,0.137454,0.184649,5.335787,0.071222,4.041649,0.113281,OK
H10,Logit,ALL,0.034606,0.082637,0.125093,3.614796,0.016405,2.320659,0.106875,OK
H10,LightGBM,ALL,0.034606,0.180869,0.217926,6.297379,0.114637,5.003241,0.100352,OK
H10,SMARTBoost,ALL,0.034606,0.172487,0.211339,6.107035,0.106255,4.812898,0.117473,OK
