horizon,feature,importance
H5,ILLIQ_5,0.0
H5,Range_5,0.0
H5,RV_5,0.0
H5,RelAmt_5,0.0
H5,ILLIQ_10,0.0
H5,Range_10,0.0
H5,RV_10,0.0
H5,RelAmt_10,0.0
H5,ILLIQ_20,0.0
H5,Range_20,0.0
H5,RV_20,0.0
H5,RelAmt_20,0.0
H5,LSI_5_lag1,0.0
H5,LSI_10_lag1,0.0
H5,LSI_20_lag1,0.0
H5,LSI_5_rollmean_5,0.0
H5,LSI_5_rollmean_10,0.0
H5,LSI_5_rollmean_20,0.0
H5,LSI_5_rollmax_5,0.0
H5,LSI_5_rollmax_10,0.0
H5,LSI_5_rollmax_20,0.0
H5,ret_sum_5,0.0
H5,ret_sum_10,0.0
H5,ret_sum_20,0.0
H5,cum_ret_open,0.0
H5,cum_amount_log_so_far,0.0
H5,MarketLSI,0.0
H5,IndexRet,0.0
H5,IndexRV,0.0
H5,MarketRelAmt,0.0
H5,slot,0.0
H5,slot_sin,0.0
H5,slot_cos,0.0
H5,is_open_10m,0.0
H5,is_afternoon_open_10m,0.0
H5,is_tail_10m,0.0
H5,reg_stage_1,0.0
H5,reg_stage_2,0.0
H5,reg_stage_3,0.0
H10,ILLIQ_5,0.0
H10,Range_5,0.0
H10,RV_5,0.0
H10,RelAmt_5,0.0
H10,ILLIQ_10,0.0
H10,Range_10,0.0
H10,RV_10,0.0
H10,RelAmt_10,0.0
H10,ILLIQ_20,0.0
H10,Range_20,0.0
H10,RV_20,0.0
H10,RelAmt_20,0.0
H10,LSI_5_lag1,0.0
H10,LSI_10_lag1,0.0
H10,LSI_20_lag1,0.0
H10,LSI_5_rollmean_5,0.0
H10,LSI_5_rollmean_10,0.0
H10,LSI_5_rollmean_20,0.0
H10,LSI_5_rollmax_5,0.0
H10,LSI_5_rollmax_10,0.0
H10,LSI_5_rollmax_20,0.0
H10,ret_sum_5,0.0
H10,ret_sum_10,0.0
H10,ret_sum_20,0.0
H10,cum_ret_open,0.0
H10,cum_amount_log_so_far,0.0
H10,MarketLSI,0.0
H10,IndexRet,0.0
H10,IndexRV,0.0
H10,MarketRelAmt,0.0
H10,slot,0.0
H10,slot_sin,0.0
H10,slot_cos,0.0
H10,is_open_10m,0.0
H10,is_afternoon_open_10m,0.0
H10,is_tail_10m,0.0
H10,reg_stage_1,0.0
H10,reg_stage_2,0.0
H10,reg_stage_3,0.0
