iteration,validation_pr_auc,horizon
20,0.501367377856061,H5
25,0.5033773874289753,H5
30,0.5089852109589695,H5
35,0.5131096001206299,H5
40,0.5187242911347176,H5
45,0.5342315859556439,H5
50,0.5363315763874728,H5
55,0.5428949116604065,H5
60,0.5466990094490232,H5
65,0.5522138879688884,H5
70,0.5537854929459088,H5
75,0.5567803249498542,H5
80,0.5582236294401821,H5
85,0.5591793019374127,H5
90,0.5597506622666284,H5
95,0.5608224545089897,H5
100,0.5620126893589162,H5
105,0.5640403901981296,H5
110,0.5646574659865808,H5
115,0.5656713585478689,H5
120,0.5669809157630371,H5
125,0.5690499382450449,H5
130,0.5707180471418217,H5
135,0.5718260233872141,H5
140,0.5726772379185785,H5
145,0.5740985057744213,H5
150,0.5749024781370959,H5
155,0.5773682542187779,H5
160,0.578392120330203,H5
165,0.5800033114451575,H5
170,0.5812320993876151,H5
175,0.5822124216856974,H5
180,0.5835132267958498,H5
20,0.47264127771345443,H10
25,0.47722168612397475,H10
30,0.48315665347206993,H10
35,0.4894020303194848,H10
40,0.49089434413106847,H10
45,0.5017876578253185,H10
50,0.5033701020531054,H10
55,0.5040586974737091,H10
60,0.5090817997798519,H10
65,0.5125996951553395,H10
70,0.513355332421185,H10
75,0.515146257253043,H10
80,0.5148972935642799,H10
85,0.5149302222859611,H10
90,0.5159772247022909,H10
95,0.5161469811521697,H10
100,0.5167441879827565,H10
105,0.5177361109520711,H10
110,0.5182031261106317,H10
115,0.5179730857558758,H10
120,0.5200740844609691,H10
125,0.5211425178182854,H10
130,0.5222095423064771,H10
135,0.5235559730795002,H10
140,0.5233825909391776,H10
145,0.5245917451537869,H10
150,0.5262497213429724,H10
155,0.5266422308666995,H10
160,0.5275797935724797,H10
165,0.5272532784860449,H10
170,0.527595378042813,H10
175,0.5274566993515615,H10
180,0.5277269453374449,H10
