scenario,scenario_cn,quantile,shock_size,signed_response_h5,signed_response_h10,cum_signed_response_h1_h10,cum_abs_response_h1_h10,positive_count_h1_h10,negative_count_h1_h10,near_zero_count_h1_h10,direction_switch_h1_h10
market_crash,市场急跌,0.5,1.0,-0.004388728097460496,-0.002182278512769486,-0.04357990699796904,0.04357990699796904,0,10,0,False
volatility_spike,波动放大,0.5,1.0,-0.039030708816398516,-0.053682691851767717,-0.37572957614175506,0.37572957614175506,0,10,0,False
liquidity_contraction,成交收缩/流动性压力,0.5,1.0,0.0038501814362144043,0.006036661650006738,0.038917257929495075,0.038917257929495075,10,0,0,False
composite_pressure,复合压力,0.5,1.0,-0.0395692554776446,-0.04982830871453045,-0.3803922252102291,0.3803922252102291,0,10,0,False
market_crash,市场急跌,0.5,1.5,-0.006583092146190739,-0.0032734177691542306,-0.06536986049695355,0.06536986049695355,0,10,0,False
volatility_spike,波动放大,0.5,1.5,-0.058546063224597794,-0.0805240377776516,-0.5635943642126329,0.5635943642126329,0,10,0,False
liquidity_contraction,成交收缩/流动性压力,0.5,1.5,0.0057752721543216055,0.009054992475010114,0.05837588689424262,0.05837588689424262,10,0,0,False
composite_pressure,复合压力,0.5,1.5,-0.059353883216466924,-0.07474246307179569,-0.5705883378153436,0.5705883378153436,0,10,0,False
market_crash,市场急跌,0.5,2.0,-0.008777456194920982,-0.004364557025538972,-0.08715981399593803,0.08715981399593803,0,10,0,False
volatility_spike,波动放大,0.5,2.0,-0.07806141763279706,-0.1073653837035354,-0.7514591522835102,0.7514591522835102,0,10,0,False
liquidity_contraction,成交收缩/流动性压力,0.5,2.0,0.00770036287242881,0.012073323300013485,0.07783451585899016,0.07783451585899016,10,0,0,False
composite_pressure,复合压力,0.5,2.0,-0.07913851095528922,-0.09965661742906093,-0.7607844504204582,0.7607844504204582,0,10,0,False
market_crash,市场急跌,0.9,1.0,-0.00473981692257619,-0.0016743107458183637,-0.046886294731438516,0.046886294731438516,0,10,0,False
volatility_spike,波动放大,0.9,1.0,-0.1465071343806711,-0.49069614563635944,-2.047111349317627,2.047111349317627,0,10,0,False
liquidity_contraction,成交收缩/流动性压力,0.9,1.0,-0.08525208298407849,-0.10693039776553803,-0.7938476996821999,0.7938476996821999,0,10,0,False
composite_pressure,复合压力,0.9,1.0,-0.23649903428732555,-0.5993008541477161,-2.887845343731263,2.887845343731263,0,10,0,False
market_crash,市场急跌,0.9,1.5,-0.00710972538386434,-0.0025114661187273235,-0.07032944209715603,0.07032944209715603,0,10,0,False
volatility_spike,波动放大,0.9,1.5,-0.2197607015710067,-0.7360442184545388,-3.0706670239764398,3.0706670239764398,0,10,0,False
liquidity_contraction,成交收缩/流动性压力,0.9,1.5,-0.12787812447611757,-0.1603955966483066,-1.1907715495232978,1.1907715495232978,0,10,0,False
composite_pressure,复合压力,0.9,1.5,-0.35474855143098827,-0.8989512812215739,-4.331768015596895,4.331768015596895,0,10,0,False
market_crash,市场急跌,0.9,2.0,-0.00947963384515238,-0.0033486214916367274,-0.09377258946287609,0.09377258946287609,0,10,0,False
volatility_spike,波动放大,0.9,2.0,-0.29301426876134207,-0.9813922912727187,-4.094222698635253,4.094222698635253,0,10,0,False
liquidity_contraction,成交收缩/流动性压力,0.9,2.0,-0.17050416596815665,-0.2138607955310765,-1.5876953993643992,1.5876953993643992,0,10,0,False
composite_pressure,复合压力,0.9,2.0,-0.4729980685746511,-1.1986017082954321,-5.775690687462526,5.775690687462526,0,10,0,False
market_crash,市场急跌,0.95,1.0,-0.003930367091466103,-0.00010553288202164168,-0.03757204980057763,0.03757204980057763,0,10,0,False
volatility_spike,波动放大,0.95,1.0,-0.30581283737324383,-1.004723300410793,-4.2318937240292875,4.2318937240292875,0,10,0,False
liquidity_contraction,成交收缩/流动性压力,0.95,1.0,-0.13143223208417187,-0.13260405620086946,-1.1541617549148093,1.1541617549148093,0,10,0,False
composite_pressure,复合压力,0.95,1.0,-0.4411754365488816,-1.137432889493685,-5.423627528744676,5.423627528744676,0,10,0,False
market_crash,市场急跌,0.95,1.5,-0.005895550637199154,-0.00015829932303290661,-0.05635807470086804,0.05635807470086804,0,10,0,False
volatility_spike,波动放大,0.95,1.5,-0.45871925605986563,-1.5070849506161887,-6.347840586043931,6.347840586043931,0,10,0,False
liquidity_contraction,成交收缩/流动性压力,0.95,1.5,-0.19714834812625748,-0.1989060843013042,-1.7312426323722105,1.7312426323722105,0,10,0,False
composite_pressure,复合压力,0.95,1.5,-0.6617631548233225,-1.7061493342405272,-8.135441293117015,8.135441293117015,0,10,0,False
market_crash,市场急跌,0.95,2.0,-0.007860734182932427,-0.00021106576404417154,-0.07514409960115795,0.07514409960115795,0,10,0,False
volatility_spike,波动放大,0.95,2.0,-0.6116256747464874,-2.0094466008215845,-8.463787448058573,8.463787448058573,0,10,0,False
liquidity_contraction,成交收缩/流动性压力,0.95,2.0,-0.2628644641683435,-0.2652081124017398,-2.3083235098296195,2.3083235098296195,0,10,0,False
composite_pressure,复合压力,0.95,2.0,-0.8823508730977636,-2.27486577898737,-10.847255057489356,10.847255057489356,0,10,0,False
