horizon,period,bin,rows,mean_predicted_probability,realized_pressure_rate,Brier,calibration_error
H10,test,0,256674,0.0153926629573106,0.0013324294704943,0.0435464334024797,0.014060233486816301
H10,test,1,256671,0.0177792310714721,0.0024739841464906,0.0435464334024797,0.0153052469249815
H10,test,2,256673,0.0204115305095911,0.0038687356282025,0.0435464334024797,0.0165427948813886
H10,test,3,256672,0.0241288151592016,0.0058479304425418,0.0435464334024797,0.0182808847166598
H10,test,4,256673,0.0299318153411149,0.0089530255645513,0.0435464334024797,0.020978789776563603
H10,test,5,256672,0.0393549799919128,0.0149451438337564,0.0435464334024797,0.024409836158156402
H10,test,6,256672,0.055285632610321,0.0245839040726423,0.0435464334024797,0.030701728537678705
H10,test,7,256673,0.0879783853888511,0.0434989258646965,0.0435464334024797,0.044479459524154594
H10,test,8,256672,0.1842401623725891,0.089479960501194,0.0435464334024797,0.09476020187139511
H10,test,9,256673,0.6065424680709839,0.3854047656059265,0.0435464334024797,0.22113770246505737
H10,validation,0,257758,0.0202917028218507,0.001625555800274,0.043389658362635,0.0186661470215767
H10,validation,1,257757,0.0231211017817258,0.0025721900165081,0.043389658362635,0.0205489117652177
H10,validation,2,257757,0.0258470475673675,0.004189992789179,0.043389658362635,0.0216570547781885
H10,validation,3,257757,0.0292393304407596,0.0061686006374657,0.043389658362635,0.023070729803293902
H10,validation,4,257757,0.0341078266501426,0.0094817988574504,0.043389658362635,0.0246260277926922
H10,validation,5,257757,0.0421237684786319,0.0149947432801127,0.043389658362635,0.027129025198519195
H10,validation,6,257757,0.0571235828101635,0.0245812907814979,0.043389658362635,0.0325422920286656
H10,validation,7,257757,0.0885030552744865,0.0395837947726249,0.043389658362635,0.0489192605018616
H10,validation,8,257757,0.1780279576778412,0.0801180973649025,0.043389658362635,0.09790986031293869
H10,validation,9,257757,0.603300154209137,0.3443436920642853,0.043389658362635,0.2589564621448517
H5,test,0,264832,0.0112078338861465,0.0008344912785105,0.0380871333732804,0.010373342607636001
H5,test,1,264826,0.0132142109796404,0.0013518310151994,0.0380871333732804,0.011862379964441
H5,test,2,264823,0.0154577149078249,0.0020390977151691,0.0380871333732804,0.0134186171926558
H5,test,3,264828,0.0187849681824445,0.0032549428287893,0.0380871333732804,0.0155300253536552
H5,test,4,264826,0.0237603597342968,0.0053053703159093,0.0380871333732804,0.0184549894183875
H5,test,5,264827,0.0314433053135871,0.0089983269572258,0.0380871333732804,0.0224449783563613
H5,test,6,264827,0.045508474111557,0.0168260782957077,0.0380871333732804,0.0286823958158493
H5,test,7,264828,0.0771163627505302,0.0343128368258476,0.0380871333732804,0.0428035259246826
H5,test,8,264826,0.1673116832971573,0.0786403119564056,0.0380871333732804,0.08867137134075169
H5,test,9,264827,0.6068364977836609,0.3925921320915222,0.0380871333732804,0.21424436569213867
H5,validation,0,265209,0.0189962312579154,0.00064100389136,0.0403207827019575,0.0183552273665554
H5,validation,1,265208,0.0209893267601728,0.0011198756983503,0.0403207827019575,0.0198694510618225
H5,validation,2,265208,0.0232626423239707,0.0018136707367375,0.0403207827019575,0.0214489715872332
H5,validation,3,265208,0.026837233453989,0.0030768301803618,0.0403207827019575,0.0237604032736272
H5,validation,4,265208,0.0325182788074016,0.0051280502229928,0.0403207827019575,0.0273902285844088
H5,validation,5,265208,0.0415180996060371,0.0087252268567681,0.0403207827019575,0.032792872749268995
H5,validation,6,265207,0.056523647159338,0.0148525489494204,0.0403207827019575,0.0416710982099176
H5,validation,7,265209,0.0889434367418289,0.0324121713638305,0.0403207827019575,0.05653126537799841
H5,validation,8,265208,0.186255469918251,0.0734366998076438,0.0403207827019575,0.11281877011060722
H5,validation,9,265208,0.630217969417572,0.3644083142280578,0.0403207827019575,0.2658096551895142
